ID_REF,normal_mean,cancer_mean,difference,p_value,adjusted_p_value
219374_s_at,6.003088072529412,4.891495407701924,-1.111592664827488,2.35190558954499e-05,0.0001759383979876316
219386_s_at,4.177431172235295,5.599452319528846,1.4220211472935516,0.002093552014339749,0.00923867847595805
219388_at,5.592756066823529,8.230452527576922,2.637696460753393,8.936786233443046e-22,1.1781663184422417e-19
219389_at,4.0483811249411765,5.774287225932692,1.7259061009915158,4.528934490346952e-06,3.966378619201641e-05
219395_at,3.8686336544117648,7.144928024701924,3.2762943702901595,1.692676614099761e-20,1.7698198643860315e-18
219398_at,11.46313051652941,5.296582738586538,-6.166547777942873,1.382617217309989e-23,2.4342537130181257e-21
219401_at,5.00359298782353,6.272164095,1.26857110717647,1.3927637359084063e-09,2.4442331814194503e-08
219411_at,2.6693860928235296,4.511317759509615,1.8419316666860857,4.913984135918632e-09,7.762672652801823e-08
219412_at,3.6346622559411763,4.7169904164230765,1.0823281604819002,0.0036943009051537594,0.015069600082390661
219427_at,4.755528312058824,3.1034135669615384,-1.6521147450972857,2.861356970221572e-14,1.1219109344664023e-12
219433_at,5.216402932705883,6.4582066539326926,1.2418037212268098,2.3374436730980553e-06,2.1748267683944556e-05
219436_s_at,3.879464432352941,2.702046226932692,-1.177418205420249,1.2246452309126632e-13,4.331815428255493e-12
219440_at,7.066054883352941,5.663868099644231,-1.4021867837087099,0.0019475260465431732,0.008677063191369783
219442_at,4.066173270941177,5.243427030259616,1.1772537593184387,6.557036104149575e-10,1.2264443918039056e-08
219450_at,4.512817639294117,2.8234365751826926,-1.6893810641114246,4.3039700443004095e-11,9.936818149233166e-10
219451_at,8.61013455717647,7.441309780471154,-1.1688247767053168,4.683675640776381e-07,5.048989389649103e-06
219454_at,6.123434502352942,3.4084280436826924,-2.7150064586702496,7.879788532103168e-08,9.934231381779845e-07
219469_at,5.632458396352941,4.510545144855769,-1.1219132514971726,2.7459620224792996e-07,3.09844658310725e-06
219474_at,3.6546202267058825,5.650019592615385,1.9953993659095022,1.6045051929503852e-08,2.303927622363564e-07
219476_at,3.592954987882353,5.693103521817307,2.1001485339349544,8.639952885692358e-06,7.13188125451003e-05
219482_at,4.608148892,5.840719822240384,1.2325709302403842,4.464730655780178e-09,7.129895929733534e-08
219493_at,2.816201284058824,4.303518390307692,1.4873171062488684,4.9676788098032985e-06,4.315310230148882e-05
219499_at,3.0906556204117646,4.553554723932693,1.462899103520928,1.2457468839011288e-07,1.5032416355613465e-06
219513_s_at,2.960034636764706,4.059526472163461,1.099491835398755,8.196613529176047e-07,8.402760514817797e-06
219514_at,4.520116694882353,2.4951686951826924,-2.024947999699661,7.900443824137731e-27,2.222671770503161e-24
219517_at,6.690472611647059,7.829743609403845,1.1392709977567863,0.00018944628644825305,0.001127198175957615
219518_s_at,4.182223142529412,5.324175987317308,1.1419528447878964,0.0019305778171227854,0.008615719935266984
219520_s_at,6.1179414240000005,7.405466178490385,1.2875247544903843,7.702480420950157e-09,1.1723192384133815e-07
219522_at,4.567313943117647,5.974273707634615,1.4069597645169685,9.67777473461643e-06,7.916715636100572e-05
219523_s_at,5.990620192588235,4.005187127182692,-1.9854330654055428,1.2398078812718935e-13,4.3797718027144774e-12
219527_at,6.396781398647059,5.386571887721153,-1.0102095109259066,5.2173436996992436e-05,0.00035814036194929574
219534_x_at,8.116795050058824,5.611524247057693,-2.5052708030011317,1.3012231614369516e-10,2.759108738464156e-09
219543_at,8.185561738411765,6.358164079634615,-1.8273976587771505,6.920342536029948e-10,1.2899773745695989e-08
219549_s_at,9.778056319235294,8.61984171735577,-1.1582146018795232,6.146412816608321e-05,0.00041512815878933987
219557_s_at,3.3652289209411763,4.975337413461539,1.610108492520363,0.0023254408148866913,0.010134161149449115
219561_at,8.358439717647059,5.7042072114903855,-2.6542325061566734,1.1177655582481018e-16,6.361473034788649e-15
219562_at,3.858591776235294,6.271695498913461,2.413103722678167,1.379717804013519e-10,2.9108472371570876e-09
219563_at,9.480802810764706,6.527595013990384,-2.953207796774322,2.198548046919816e-16,1.1810487583940614e-14
219569_s_at,6.928956999,3.9752413615384614,-2.953715637461539,1.7533122162477225e-23,3.05731717094519e-21
219576_at,5.909652280294118,3.8740627443269227,-2.0355895359671954,1.9976929017352379e-22,2.9709013864797697e-20
219578_s_at,4.0861930605882355,2.8660029504038462,-1.2201901101843893,4.572183533906049e-12,1.2280767967374913e-10
219580_s_at,4.503227105235294,7.2879872784615385,2.7847601732262444,3.8299801489418246e-06,3.403394440721196e-05
